07.12.2024   N1106
Îáðàçåö: "Âîëüôðàì"
LiF200
Òðóáêà: "40,0/0,100"
        Îòð1            Îòð2
   [ìÀ]  [Èìï/ñ]   [ìÀ]  [Èìï/ñ]
   1820    41,0     913     7,0
   1822    34,0     914    11,0
   1824    40,0     915    11,0
   1826    27,0     916    11,0
   1828    30,0     917     8,0
   1830    38,0     918     8,0
   1832    39,0     919     3,0
   1834    41,0     920     6,0
   1836    29,0     921     5,0
   1838    21,0     922     7,0
   1840    31,0     923     5,0
   1842    30,0     924     7,0
   1844    40,0     925    11,0
   1846    37,0     926    10,0
   1848    37,0     927     4,0
   1850    29,0     928    12,0
   1852    28,0     929     4,0
   1854    40,0     930     6,0
   1856    27,0     931     9,0
   1858    19,0     932     4,0
   1860    37,0     933     7,0
   1862    24,0     934     5,0
   1864    36,0     935     4,0
   1866    21,0     936     7,0
   1868    38,0     937     4,0
   1870    22,0     938     7,0
   1872    36,0     939     9,0
   1874    33,0     940     2,0
   1876    24,0     941     6,0
   1878    27,0     942     6,0
   1880    29,0     943     8,0
   1882    26,0     944     4,0
   1884    20,0     945     8,0
   1886    31,0     946    11,0
   1888    20,0     947     5,0
   1890    29,0     948    11,0
   1892    31,0     949     1,0
   1894    28,0     950     5,0
   1896    21,0     951     9,0
   1898    22,0     952    12,0
   1900    18,0     953     5,0
   1902    29,0     954     6,0
   1904    30,0     955     5,0
   1906    25,0     956     4,0
   1908    30,0     957     9,0
   1910    20,0     958     8,0
   1912    21,0     959     5,0
   1914    22,0     960    13,0
   1916    17,0     961     2,0
   1918    30,0     962     5,0
   1920    39,0     963     3,0
   1922    35,0     964     6,0
   1924    40,0     965     3,0
   1926    63,0     966     9,0
   1928    72,0     967     4,0
   1930    65,0     968     4,0
   1932    63,0     969     7,0
   1934    56,0     970     6,0
   1936    65,0     971     3,0
   1938    55,0     972     4,0
   1940    34,0     973     7,0
   1942    29,0     974     4,0
   1944    27,0     975    12,0
   1946    29,0     976     5,0
   1948    23,0     977     7,0
   1950    19,0     978     4,0
   1952    26,0     979     3,0
   1954    30,0     980     6,0
   1956    20,0     981     6,0
   1958    21,0     982     4,0
   1961    29,0     983     5,0
   1963    21,0     984     3,0
   1965    26,0     985     7,0
   1967    34,0     986     1,0
   1969    22,0     987     5,0
   1971    31,0     988     4,0
   1973    24,0     989     4,0
   1975    21,0     990     5,0
   1977    15,0     991     3,0
   1979    26,0     992     3,0
   1981    18,0     993     1,0
   1983    21,0     994     7,0
   1985    16,0     995     5,0
   1987    32,0     996     6,0
   1989    31,0     997     4,0
   1991    21,0     998     3,0
   1993    23,0     999     2,0
   1995    21,0    1000     6,0
   1997    22,0    1001     5,0
   1999    28,0    1002     5,0
   2001    21,0    1003     4,0
   2003    25,0    1004     6,0
   2005    31,0    1005     6,0
   2007    19,0    1006    11,0
   2009    30,0    1007     6,0
   2011    40,0    1008     3,0
   2013    33,0    1009     2,0
   2015    28,0    1010     1,0
   2017    30,0    1011     5,0
   2019    26,0    1012     3,0
   2021    18,0    1013    10,0
   2023    10,0    1014     4,0
   2025    21,0    1015     4,0
   2027    11,0    1016     5,0
   2029    27,0    1017    14,0
   2031    19,0    1018     0,0
   2033    20,0    1019     6,0
   2035    19,0    1020     3,0
   2037    22,0    1021     3,0
   2039    25,0    1022     6,0
   2041    26,0    1023     6,0
   2043    23,0    1024     7,0
   2045    22,0    1025     6,0
   2047    30,0    1026     9,0
   2049    18,0    1027     9,0
   2051    27,0    1028    11,0
   2053    24,0    1029     9,0
   2055    15,0    1030     7,0
   2057    34,0    1031     8,0
   2059    15,0    1032     8,0
   2061    14,0    1033     6,0
   2063    20,0    1034     6,0
   2065    27,0    1035     3,0
   2067    20,0    1036     3,0
   2069    20,0    1037     4,0
   2071    19,0    1038     4,0
   2073    23,0    1039     3,0
   2075    20,0    1040     4,0
   2077    23,0    1041     8,0
   2079    21,0    1042     6,0
   2081    18,0    1043     6,0
   2083    24,0    1044     8,0
   2085    17,0    1045     5,0
   2087    16,0    1046     4,0
   2089    28,0    1047    10,0
   2091    17,0    1048     5,0
   2093    20,0    1049     2,0
   2095    21,0    1050    10,0
   2097    19,0    1051     3,0
   2099    25,0    1052     9,0
   2101    26,0    1053    13,0
   2103    25,0    1054     9,0
   2105    25,0    1055     9,0
   2107    16,0    1056    23,0
   2109    29,0    1057    18,0
   2111    19,0    1058    15,0
   2113    32,0    1059    18,0
   2115    12,0    1060    23,0
   2117    26,0    1061    20,0
   2119    15,0    1062    15,0
   2121    28,0    1063    18,0
   2123    21,0    1064    16,0
   2125    22,0    1065    18,0
   2127    16,0    1066    18,0
   2129    25,0    1067    10,0
   2131    18,0    1068     9,0
   2133    26,0    1069     6,0
   2135    21,0    1070    11,0
   2137    22,0    1071    14,0
   2139    16,0    1072    14,0
   2141    18,0    1073     9,0
   2143     8,0    1074     6,0
   2145    16,0    1075    10,0
   2147    22,0    1076     3,0
   2149    17,0    1077     7,0
   2151    19,0    1078     2,0
   2153    19,0    1079     6,0
   2155    17,0    1080     9,0
   2158    14,0    1081     4,0
   2160    17,0    1082     6,0
   2162    18,0    1083     6,0
   2164    10,0    1084     7,0
   2166    17,0    1085     9,0
   2168    17,0    1086     9,0
   2170    20,0    1087    14,0
   2172    30,0    1088    16,0
   2174    13,0    1089    12,0
   2176    16,0    1090    17,0
   2178    17,0    1091    22,0
   2180    26,0    1092    32,0
   2182    23,0    1093    55,0
   2184    22,0    1094    55,0
   2186    27,0    1095    69,0
   2188    38,0    1096    62,0
   2190    28,0    1097    62,0
   2192    28,0    1098    56,0
   2194    27,0    1099    50,0
   2196    25,0    1100    53,0
   2198    21,0    1101    37,0
   2200    23,0    1102    18,0
   2202    23,0    1103    22,0
