07.12.2024   N1106
Образец: "Осмич"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   1816    21,0     911     5,0
   1818    30,0     912    12,0
   1820    28,0     913    12,0
   1822    25,0     914    10,0
   1824    29,0     915    11,0
   1826    27,0     916     9,0
   1828    34,0     917     7,0
   1830    24,0     918     9,0
   1832    26,0     919     7,0
   1834    34,0     920     4,0
   1836    36,0     921     6,0
   1838    33,0     922     8,0
   1840    19,0     923     3,0
   1842    29,0     924     3,0
   1844    29,0     925     3,0
   1846    22,0     926     6,0
   1848    27,0     927     4,0
   1850    20,0     928    10,0
   1852    27,0     929     6,0
   1854    24,0     930     7,0
   1856    32,0     931     5,0
   1858    30,0     932     7,0
   1860    16,0     933     4,0
   1862    34,0     934    10,0
   1864    23,0     935     5,0
   1866    17,0     936     4,0
   1868    26,0     937     5,0
   1870    26,0     938     3,0
   1872    16,0     939     6,0
   1874    35,0     940     7,0
   1876    25,0     941     8,0
   1878    19,0     942     2,0
   1880    28,0     943     4,0
   1882    25,0     944     7,0
   1884    12,0     945     6,0
   1886    24,0     946     8,0
   1888    25,0     947    13,0
   1890    20,0     948     7,0
   1892    24,0     949     6,0
   1894    21,0     950     9,0
   1896    22,0     951     7,0
   1898    25,0     952     5,0
   1900    25,0     953     9,0
   1902    32,0     954    10,0
   1904    24,0     955    12,0
   1906    29,0     956    15,0
   1908    24,0     957    12,0
   1910    30,0     958     7,0
   1912    27,0     959     7,0
   1914    23,0     960     5,0
   1916    31,0     961     8,0
   1918    28,0     962     7,0
   1920    32,0     963     6,0
   1922    33,0     964    10,0
   1924    43,0     965     5,0
   1926    36,0     966     7,0
   1928    44,0     967     5,0
   1930    53,0     968     7,0
   1932    46,0     969    10,0
   1934    57,0     970     9,0
   1936    51,0     971     7,0
   1938    45,0     972     5,0
   1940    29,0     973     5,0
   1942    30,0     974     6,0
   1944    20,0     975     4,0
   1946    25,0     976     8,0
   1948    22,0     977     4,0
   1950    27,0     978     4,0
   1952    16,0     979     4,0
   1954    16,0     980    11,0
   1956    24,0     981    11,0
   1958    20,0     982    10,0
   1961    18,0     983    19,0
   1963    22,0     984    11,0
   1965    25,0     985     8,0
   1967    26,0     986    18,0
   1969    21,0     987    14,0
   1971    25,0     988    21,0
   1973    30,0     989    28,0
   1975    25,0     990    19,0
   1977    17,0     991    22,0
   1979    22,0     992    24,0
   1981    25,0     993    17,0
   1983    26,0     994    17,0
   1985    23,0     995    19,0
   1987    23,0     996    15,0
   1989    30,0     997    24,0
   1991    33,0     998    17,0
   1993    26,0     999    13,0
   1995    28,0    1000    26,0
   1997    29,0    1001    13,0
   1999    26,0    1002    12,0
   2001    17,0    1003    10,0
   2003    20,0    1004     4,0
   2005    23,0    1005    15,0
   2007    25,0    1006     7,0
   2009    18,0    1007     7,0
   2011    16,0    1008    10,0
   2013    25,0    1009    12,0
   2015    15,0    1010     8,0
   2017    18,0    1011    13,0
   2019    16,0    1012     9,0
   2021    17,0    1013    16,0
   2023    25,0    1014    25,0
   2025    27,0    1015    15,0
   2027    19,0    1016    22,0
   2029    18,0    1017    35,0
   2031    16,0    1018    42,0
   2033    23,0    1019    83,0
   2035    21,0    1020    74,0
   2037    29,0    1021    77,0
   2039    28,0    1022     116
   2041    31,0    1023    93,0
   2043    24,0    1024     101
   2045    37,0    1025    69,0
   2047    20,0    1026    54,0
   2049    27,0    1027    30,0
   2051    29,0    1028    33,0
   2053    29,0    1029    24,0
   2055    15,0    1030    21,0
   2057    17,0    1031    15,0
   2059    25,0    1032    10,0
   2061    16,0    1033    11,0
   2063    13,0    1034     4,0
   2065    18,0    1035     7,0
   2067    14,0    1036    11,0
   2069    14,0    1037     5,0
   2071    15,0    1038     6,0
   2073    14,0    1039     7,0
   2075    15,0    1040     5,0
   2077    23,0    1041     7,0
   2079    12,0    1042     3,0
   2081    12,0    1043     6,0
   2083    27,0    1044     7,0
   2085    25,0    1045     5,0
   2087    26,0    1046     6,0
   2089    12,0    1047     6,0
   2091    24,0    1048     9,0
   2093    17,0    1049     4,0
   2095    19,0    1050     7,0
   2097    14,0    1051     8,0
   2099    10,0    1052    10,0
   2101    17,0    1053     9,0
   2103    15,0    1054     7,0
   2105    22,0    1055     8,0
   2107    18,0    1056     8,0
   2109     9,0    1057     5,0
   2111    15,0    1058    10,0
   2113    15,0    1059     9,0
   2115    13,0    1060     5,0
   2117    12,0    1061     3,0
   2119    19,0    1062     3,0
   2121    15,0    1063     5,0
   2123    15,0    1064     5,0
   2125    12,0    1065     8,0
   2127    16,0    1066     3,0
   2129    11,0    1067     2,0
   2131    12,0    1068     5,0
   2133    11,0    1069     5,0
   2135    12,0    1070     6,0
   2137    13,0    1071    12,0
   2139    11,0    1072     8,0
   2141    12,0    1073    11,0
   2143    15,0    1074     6,0
   2145    21,0    1075     5,0
   2147    10,0    1076     8,0
   2149    14,0    1077     4,0
   2151    12,0    1078     2,0
   2153    15,0    1079     7,0
   2155    10,0    1080     0,0
   2158    13,0    1081     4,0
   2160    10,0    1082     3,0
   2162    15,0    1083     4,0
   2164    22,0    1084     3,0
   2166     7,0    1085     6,0
   2168    13,0    1086     8,0
   2170    12,0    1087     3,0
   2172    16,0    1088    10,0
   2174    14,0    1089     3,0
   2176    13,0    1090     9,0
   2178    13,0    1091     4,0
   2180     9,0    1092     9,0
   2182     6,0    1093     4,0
   2184    11,0    1094     4,0
   2186    15,0    1095     6,0
   2188    15,0    1096     6,0
   2190    13,0    1097     4,0
   2192    14,0    1098     4,0
   2194    19,0    1099     9,0
   2196    13,0    1100     7,0
   2198    14,0    1101     1,0
   2200    14,0    1102     2,0
   2202    20,0    1103     5,0
   2204    19,0    1104     9,0
   2206    15,0    1105     3,0
   2208    13,0    1106     6,0
   2210     8,0    1107     2,0
   2212    10,0    1108     1,0
   2214    17,0    1109     8,0
   2216    15,0    1110     5,0
   2218    15,0    1111     2,0
   2220    11,0    1112     0,0
   2222    10,0    1113     4,0
   2224    13,0    1114     7,0
   2226     7,0    1115     8,0
   2228    13,0    1116     4,0
   2230    11,0    1117     4,0
   2232    15,0    1118     3,0
   2234    11,0    1119     6,0
   2236    16,0    1120     2,0
   2238     8,0    1121     5,0
   2240    10,0    1122     7,0
   2242    16,0    1123    11,0
   2244     8,0    1124     3,0
   2246    12,0    1125     8,0
   2248     8,0    1126     7,0
   2250    11,0    1127     7,0
   2252    15,0    1128     8,0
   2254     7,0    1129     7,0
   2256    12,0    1130     5,0
   2258     7,0    1131    10,0
   2260     8,0    1132     9,0
   2262     9,0    1133     6,0
   2264    10,0    1134     9,0
   2266    10,0    1135    15,0
   2268    12,0    1136    14,0
   2270    14,0    1137    10,0
   2272    15,0    1138     5,0
   2274    10,0    1139    16,0
   2276    12,0    1140    11,0
   2278    14,0    1141    20,0
   2280    12,0    1142     8,0
   2282    17,0    1143     9,0
   2284    11,0    1144     7,0
   2286    10,0    1145    11,0
   2288    10,0    1146    10,0
   2290    13,0    1147     7,0
   2292    15,0    1148    11,0
   2294    13,0    1149     8,0
   2296     9,0    1150     9,0
   2298    11,0    1151     4,0
   2300    13,0    1152     9,0
   2302    13,0    1153     7,0
   2304    12,0    1154    10,0
   2306    12,0    1155     6,0
   2308    20,0    1156    11,0
   2310    14,0    1157    17,0
   2312     9,0    1158    18,0
   2314    13,0    1159    25,0
   2316    16,0    1160    27,0
   2318    11,0    1161    44,0
   2320    24,0    1162    60,0
   2322    18,0    1163    68,0
   2324    12,0    1164    65,0
   2326    25,0    1165     130
   2328    21,0    1166     174
   2330    25,0    1167     179
   2332    31,0    1168     207
   2334    27,0    1169     188
   2336    30,0    1170     165
   2338    33,0    1171     120
   2340    28,0    1172     103
   2342    17,0    1173    78,0
   2345    17,0    1174    86,0
   2347    11,0    1175    72,0
   2349    22,0    1176    70,0
   2351    14,0    1177    74,0
   2353    13,0    1178    79,0
   2355    13,0    1179    62,0
   2357    19,0    1180    50,0
   2359    14,0    1181    53,0
   2361     7,0    1182    28,0
   2363    11,0    1183    19,0
   2365    15,0    1184    27,0
   2367    18,0    1185    26,0
   2369    12,0    1186    25,0
   2371    13,0    1187    34,0
   2373    12,0    1188    50,0
   2375    16,0    1189    75,0
   2377    12,0    1190     103
   2379    23,0    1191     151
   2381    23,0    1192     228
   2383    38,0    1193     359
   2385    54,0    1194     462
   2387    67,0    1195     544
   2389    53,0    1196     455
   2391    46,0    1197     364
   2393    63,0    1198     269
   2395    35,0    1199     195
   2397    35,0    1200     124
   2399    20,0    1201    77,0
   2401    15,0    1202    44,0
   2403     9,0    1203    31,0
   2405     8,0    1204    19,0
   2407    14,0    1205    19,0
   2409    12,0    1206    14,0
   2411     9,0    1207    20,0
   2413     5,0    1208    11,0
   2415    11,0    1209    17,0
   2417     5,0    1210    22,0
   2419     6,0    1211    27,0
   2421    15,0    1212    41,0
   2423    11,0    1213    47,0
   2425    12,0    1214    42,0
   2427     5,0    1215    53,0
   2429    12,0    1216    47,0
   2431    11,0    1217    38,0
   2433    15,0    1218    49,0
   2435    11,0    1219    29,0
   2437     6,0    1220    19,0
   2439    10,0    1221    18,0
   2441     6,0    1222     9,0
   2443     4,0    1223     8,0
   2445     6,0    1224     7,0
   2447     6,0    1225     3,0
   2449     5,0    1226     1,0
   2451     8,0    1227    10,0
   2453     5,0    1228     4,0
   2455    11,0    1229     7,0
   2457    11,0    1230     6,0
   2459    10,0    1231     3,0
   2461     6,0    1232     4,0
   2463     8,0    1233     4,0
   2465     8,0    1234     6,0
   2467    10,0    1235     7,0
   2469     5,0    1236     3,0
   2471     8,0    1237     5,0
   2473     7,0    1238     8,0
   2475     5,0    1239     4,0
   2477     4,0    1240     6,0
   2479     2,0    1241     5,0
   2481     5,0    1242     3,0
   2483     7,0    1243     6,0
   2485     7,0    1244     4,0
   2487     7,0    1245     3,0
   2489     6,0    1246     4,0
   2491     3,0    1247     7,0
   2493     9,0    1248     3,0
   2495    10,0    1249     5,0
   2497     3,0    1250     5,0
   2499     5,0    1251     6,0
   2501    10,0    1252     5,0
   2503     4,0    1253     2,0
   2505     1,0    1254     2,0
   2507     7,0    1255     4,0
   2509     7,0    1256     5,0
   2511    12,0    1257    10,0
   2513     9,0    1258     3,0
   2515     9,0    1259     3,0
   2517     9,0    1260     2,0
   2519     3,0    1261     1,0
   2521     9,0    1262     0,0
   2523     2,0    1263     2,0
   2525     7,0    1264     5,0
   2527     2,0    1265     2,0
   2529     3,0    1266     4,0
   2531     8,0    1267     4,0
   2533     6,0    1268     6,0
   2535     5,0    1269     4,0
   2537     8,0    1270     2,0
   2539     3,0    1271     2,0
