07.12.2024   N1106
Образец: "Ртуть"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   1826    41,0     916    25,0
   1828    33,0     917    30,0
   1830    43,0     918    11,0
   1832    32,0     919    30,0
   1834    35,0     920    21,0
   1836    37,0     921    22,0
   1838    44,0     922    24,0
   1840    44,0     923    32,0
   1842    39,0     924    19,0
   1844    34,0     925    18,0
   1846    38,0     926    26,0
   1848    33,0     927    18,0
   1850    31,0     928    21,0
   1852    48,0     929    20,0
   1854    29,0     930    22,0
   1856    34,0     931    25,0
   1858    29,0     932    20,0
   1860    31,0     933    26,0
   1862    30,0     934    20,0
   1864    38,0     935    21,0
   1866    30,0     936    25,0
   1868    39,0     937    10,0
   1870    46,0     938    19,0
   1872    43,0     939    24,0
   1874    31,0     940    25,0
   1876    35,0     941    18,0
   1878    45,0     942    18,0
   1880    29,0     943    18,0
   1882    28,0     944    26,0
   1884    36,0     945    21,0
   1886    43,0     946    24,0
   1888    31,0     947    12,0
   1890    25,0     948    20,0
   1892    28,0     949    18,0
   1894    27,0     950    17,0
   1896    40,0     951    21,0
   1898    37,0     952    21,0
   1900    36,0     953    25,0
   1902    33,0     954    16,0
   1904    31,0     955    19,0
   1906    34,0     956    22,0
   1908    29,0     957    30,0
   1910    40,0     958    21,0
   1912    22,0     959    20,0
   1914    33,0     960    24,0
   1916    31,0     961    15,0
   1918    31,0     962    17,0
   1920    25,0     963    23,0
   1922    42,0     964    23,0
   1924    54,0     965    14,0
   1926    61,0     966    25,0
   1928    55,0     967    20,0
   1930    61,0     968    11,0
   1932    75,0     969    26,0
   1934    39,0     970    21,0
   1936    58,0     971    25,0
   1938    47,0     972    18,0
   1940    38,0     973    20,0
   1942    42,0     974    14,0
   1944    37,0     975    23,0
   1946    31,0     976    21,0
   1948    28,0     977    23,0
   1950    32,0     978    17,0
   1952    36,0     979    16,0
   1954    26,0     980    16,0
   1956    27,0     981    25,0
   1958    21,0     982    24,0
   1961    36,0     983    18,0
   1963    21,0     984    18,0
   1965    30,0     985    25,0
   1967    24,0     986    20,0
   1969    17,0     987    13,0
   1971    28,0     988    27,0
   1973    30,0     989    25,0
   1975    22,0     990     9,0
   1977    28,0     991    15,0
   1979    20,0     992    19,0
   1981    23,0     993    24,0
   1983    25,0     994    14,0
   1985    28,0     995    17,0
   1987    29,0     996    11,0
   1989    28,0     997    21,0
   1991    33,0     998    22,0
   1993    25,0     999    13,0
   1995    26,0    1000    17,0
   1997    25,0    1001    17,0
   1999    29,0    1002    10,0
   2001    27,0    1003    18,0
   2003    22,0    1004    17,0
   2005    26,0    1005    16,0
   2007    19,0    1006    18,0
   2009    25,0    1007    19,0
   2011    26,0    1008    18,0
   2013    18,0    1009    27,0
   2015    24,0    1010    13,0
   2017    27,0    1011    14,0
   2019    20,0    1012    17,0
   2021    16,0    1013    14,0
   2023    25,0    1014    24,0
   2025    18,0    1015    19,0
   2027    28,0    1016    18,0
   2029    17,0    1017    15,0
   2031    23,0    1018    22,0
   2033     9,0    1019    12,0
   2035    25,0    1020    11,0
   2037    20,0    1021    17,0
   2039    18,0    1022    15,0
   2041    21,0    1023    11,0
   2043    27,0    1024    17,0
   2045    15,0    1025    21,0
   2047    34,0    1026    29,0
   2049    20,0    1027    25,0
   2051    25,0    1028    30,0
   2053    20,0    1029    18,0
   2055    20,0    1030    40,0
   2057    13,0    1031    43,0
   2059    16,0    1032    39,0
   2061    22,0    1033    44,0
   2063    16,0    1034    45,0
   2065    24,0    1035    36,0
   2067    24,0    1036    51,0
   2069    18,0    1037    50,0
   2071    19,0    1038    69,0
   2073    29,0    1039    56,0
   2075    30,0    1040    57,0
