07.12.2024   N1106
Образец: "Платина"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   1836    35,0     921    19,0
   1838    24,0     922    10,0
   1840    37,0     923    24,0
   1842    33,0     924    29,0
   1844    31,0     925    28,0
   1846    38,0     926    28,0
   1848    36,0     927    46,0
   1850    33,0     928    33,0
   1852    43,0     929    39,0
   1854    36,0     930    27,0
   1856    36,0     931    35,0
   1858    33,0     932    37,0
   1860    31,0     933    35,0
   1862    43,0     934    18,0
   1864    34,0     935    26,0
   1866    26,0     936    20,0
   1868    31,0     937    23,0
   1870    37,0     938    11,0
   1872    37,0     939    15,0
   1874    42,0     940    17,0
   1876    28,0     941    13,0
   1878    28,0     942    26,0
   1880    33,0     943    16,0
   1882    33,0     944    13,0
   1884    21,0     945    22,0
   1886    31,0     946    22,0
   1888    34,0     947    35,0
   1890    33,0     948    44,0
   1892    36,0     949    42,0
   1894    40,0     950    54,0
   1896    50,0     951    64,0
   1898    33,0     952    69,0
   1900    39,0     953    94,0
   1902    56,0     954     138
   1904    42,0     955     111
   1906    53,0     956     108
   1908    38,0     957     100
   1910    42,0     958    91,0
   1912    44,0     959    83,0
   1914    27,0     960    65,0
   1916    45,0     961    52,0
   1918    46,0     962    38,0
   1920    43,0     963    32,0
   1922    47,0     964    13,0
   1924    87,0     965     9,0
   1926    64,0     966    11,0
   1928    89,0     967    14,0
   1930    70,0     968    12,0
   1932    87,0     969     8,0
   1934    71,0     970    15,0
   1936    79,0     971    10,0
   1938    56,0     972     6,0
   1940    44,0     973     8,0
   1942    48,0     974     6,0
   1944    45,0     975     9,0
   1946    27,0     976    12,0
   1948    39,0     977     7,0
   1950    28,0     978    11,0
   1952    31,0     979    18,0
   1954    35,0     980    13,0
   1956    32,0     981    12,0
   1958    36,0     982    12,0
   1961    31,0     983    14,0
   1963    24,0     984    17,0
   1965    33,0     985    14,0
   1967    26,0     986    10,0
   1969    23,0     987    10,0
   1971    23,0     988     7,0
   1973    22,0     989    11,0
   1975    33,0     990    14,0
   1977    33,0     991     7,0
   1979    33,0     992    10,0
   1981    24,0     993     7,0
   1983    18,0     994    10,0
   1985    37,0     995    10,0
   1987    24,0     996     5,0
   1989    29,0     997     6,0
   1991    26,0     998     6,0
   1993    29,0     999     9,0
   1995    29,0    1000     1,0
   1997    26,0    1001     7,0
   1999    30,0    1002    12,0
   2001    20,0    1003    10,0
   2003    34,0    1004     6,0
   2005    18,0    1005     8,0
   2007    20,0    1006     7,0
   2009    19,0    1007     7,0
   2011    24,0    1008     7,0
   2013    20,0    1009    11,0
   2015    29,0    1010     3,0
   2017    26,0    1011     7,0
   2019    25,0    1012     8,0
   2021    21,0    1013     9,0
   2023    27,0    1014     5,0
   2025    28,0    1015    10,0
   2027    22,0    1016     7,0
   2029    21,0    1017     5,0
   2031    22,0    1018     7,0
   2033    24,0    1019    14,0
   2035    25,0    1020     9,0
   2037    24,0    1021     6,0
   2039    40,0    1022    11,0
   2041    23,0    1023     8,0
   2043    24,0    1024     9,0
   2045    26,0    1025     6,0
   2047    17,0    1026     9,0
   2049    27,0    1027     7,0
   2051    18,0    1028     4,0
   2053    31,0    1029    10,0
   2055    26,0    1030     9,0
   2057    20,0    1031     6,0
   2059    14,0    1032     5,0
   2061    17,0    1033     7,0
   2063    15,0    1034     9,0
   2065    25,0    1035    14,0
   2067    15,0    1036    11,0
   2069    32,0    1037     8,0
   2071    21,0    1038     8,0
   2073    36,0    1039     8,0
   2075    23,0    1040     9,0
   2077    16,0    1041     5,0
   2079    26,0    1042     7,0
   2081    31,0    1043     5,0
   2083    12,0    1044     8,0
   2085    23,0    1045     3,0
   2087    21,0    1046     7,0
   2089    14,0    1047     8,0
   2091    16,0    1048    15,0
   2093    22,0    1049    15,0
   2095    18,0    1050    11,0
   2097    17,0    1051     8,0
   2099    24,0    1052    10,0
   2101    21,0    1053     8,0
   2103    14,0    1054    11,0
   2105    27,0    1055     9,0
   2107    28,0    1056     6,0
   2109    17,0    1057    10,0
   2111    15,0    1058    10,0
   2113    15,0    1059    12,0
   2115    19,0    1060    10,0
   2117    23,0    1061     7,0
   2119    13,0    1062    10,0
   2121    21,0    1063    14,0
   2123    16,0    1064    14,0
   2125    20,0    1065    10,0
   2127    23,0    1066    11,0
   2129    27,0    1067    28,0
   2131    20,0    1068    20,0
   2133    17,0    1069    30,0
   2135    19,0    1070    18,0
   2137    21,0    1071    20,0
   2139    20,0    1072    22,0
   2141    19,0    1073    18,0
   2143    21,0    1074    27,0
   2145    23,0    1075    22,0
   2147    17,0    1076    16,0
   2149    14,0    1077     6,0
   2151    21,0    1078    13,0
   2153    18,0    1079    14,0
   2155    17,0    1080    15,0
   2158    17,0    1081    17,0
   2160    18,0    1082    19,0
   2162    19,0    1083    11,0
   2164    19,0    1084    17,0
   2166    16,0    1085     9,0
   2168    19,0    1086    15,0
   2170     9,0    1087    16,0
   2172    21,0    1088    17,0
   2174    21,0    1089    24,0
   2176    18,0    1090    27,0
   2178    22,0    1091    37,0
   2180    20,0    1092    77,0
   2182    29,0    1093    93,0
   2184    25,0    1094     102
   2186    31,0    1095     144
   2188    42,0    1096     132
   2190    37,0    1097     211
   2192    48,0    1098     250
   2194    44,0    1099     280
   2196    44,0    1100     277
   2198    39,0    1101     264
   2200    53,0    1102     258
   2202    45,0    1103     203
   2204    38,0    1104     159
   2206    29,0    1105     121
   2208    36,0    1106     107
   2210    26,0    1107    84,0
   2212    43,0    1108    85,0
   2214    22,0    1109    74,0
   2216    28,0    1110    95,0
   2218    26,0    1111     128
   2220    32,0    1112     152
   2222    39,0    1113     200
   2224    45,0    1114     309
   2226    57,0    1115     419
   2228    82,0    1116     531
   2230    68,0    1117     586
   2232    84,0    1118     560
   2234    76,0    1119     482
   2236    73,0    1120     430
   2238    64,0    1121     339
   2240    69,0    1122     268
   2242    55,0    1123     219
   2244    37,0    1124     147
   2246    16,0    1125    57,0
   2248    19,0    1126    41,0
   2250    19,0    1127    25,0
   2252    17,0    1128    24,0
   2254    26,0    1129    12,0
   2256    10,0    1130    28,0
   2258    19,0    1131    13,0
   2260    13,0    1132    22,0
   2262    17,0    1133    25,0
   2264    22,0    1134    25,0
   2266    18,0    1135    31,0
   2268     7,0    1136    38,0
   2270    14,0    1137    43,0
   2272    17,0    1138    48,0
   2274    17,0    1139    71,0
   2276    14,0    1140    66,0
   2278    21,0    1141    53,0
   2280    18,0    1142    54,0
   2282    18,0    1143    45,0
   2284    18,0    1144    37,0
   2286    17,0    1145    38,0
   2288    10,0    1146    19,0
   2290    12,0    1147    17,0
   2292     9,0    1148    15,0
   2294    11,0    1149    20,0
   2296    12,0    1150     9,0
   2298    18,0    1151    10,0
   2300    16,0    1152     7,0
   2302    14,0    1153     6,0
   2304    15,0    1154     7,0
   2306    12,0    1155     6,0
   2308    12,0    1156     5,0
   2310    12,0    1157     9,0
   2312     7,0    1158     7,0
   2314    10,0    1159    12,0
   2316    26,0    1160    10,0
   2318    11,0    1161     4,0
   2320    12,0    1162     8,0
   2322    11,0    1163    10,0
   2324    10,0    1164     7,0
   2326    12,0    1165     4,0
   2328    12,0    1166     7,0
   2330    10,0    1167     8,0
   2332    10,0    1168    10,0
